Politician,Type,Policy,URL
Mark Dreyfus,VeryStronglyFor,A carbon price,https://theyvoteforyou.org.au/policies/3
Mark Dreyfus,VeryStronglyFor,A fast transition from fossil fuels to renewable energy,https://theyvoteforyou.org.au/policies/91
Mark Dreyfus,VeryStronglyFor,A Royal Commission into Violence and Abuse against People with Disability,https://theyvoteforyou.org.au/policies/157
Mark Dreyfus,VeryStronglyFor,An NBN  using fibre to the premises,https://theyvoteforyou.org.au/policies/47
Mark Dreyfus,VeryStronglyFor,Building dedicated quarantine facilities  COVID 19,https://theyvoteforyou.org.au/policies/263
Mark Dreyfus,VeryStronglyFor,Carbon farming,https://theyvoteforyou.org.au/policies/33
Mark Dreyfus,VeryStronglyFor,Creating a federal Anti Corruption Commission,https://theyvoteforyou.org.au/policies/86
Mark Dreyfus,VeryStronglyFor,Decreasing the private health insurance rebate,https://theyvoteforyou.org.au/policies/26
Mark Dreyfus,VeryStronglyFor,Doctor initiated medical transfers for asylum seekers,https://theyvoteforyou.org.au/policies/145
Mark Dreyfus,VeryStronglyFor,Encouraging Australian based industry,https://theyvoteforyou.org.au/policies/42
Mark Dreyfus,VeryStronglyFor,Ending illegal logging,https://theyvoteforyou.org.au/policies/93
Mark Dreyfus,VeryStronglyFor,Increasing Aboriginal land rights,https://theyvoteforyou.org.au/policies/24
Mark Dreyfus,VeryStronglyFor,Increasing access under Freedom of Information law,https://theyvoteforyou.org.au/policies/46
Mark Dreyfus,VeryStronglyFor,Increasing competition in bulk wheat export,https://theyvoteforyou.org.au/policies/9
Mark Dreyfus,VeryStronglyFor,Increasing consumer protections,https://theyvoteforyou.org.au/policies/45
Mark Dreyfus,VeryStronglyFor,Increasing fishing restrictions,https://theyvoteforyou.org.au/policies/41
Mark Dreyfus,VeryStronglyFor,Increasing funding for legal aid,https://theyvoteforyou.org.au/policies/105
Mark Dreyfus,VeryStronglyFor,Increasing funding for vocational education,https://theyvoteforyou.org.au/policies/232
Mark Dreyfus,VeryStronglyFor,Increasing government support for the dairy industry,https://theyvoteforyou.org.au/policies/208
Mark Dreyfus,VeryStronglyFor,Increasing housing affordability,https://theyvoteforyou.org.au/policies/117
Mark Dreyfus,VeryStronglyFor,Increasing investment in renewable energy,https://theyvoteforyou.org.au/policies/20
Mark Dreyfus,VeryStronglyFor,Increasing marine conservation,https://theyvoteforyou.org.au/policies/17
Mark Dreyfus,VeryStronglyFor,Increasing protection of Australia s fresh water,https://theyvoteforyou.org.au/policies/15
Mark Dreyfus,VeryStronglyFor,Increasing restrictions on gambling,https://theyvoteforyou.org.au/policies/39
Mark Dreyfus,VeryStronglyFor,Increasing scrutiny of asylum seeker management,https://theyvoteforyou.org.au/policies/4
Mark Dreyfus,VeryStronglyFor,Increasing support for the Australian film and TV industry,https://theyvoteforyou.org.au/policies/261
Mark Dreyfus,VeryStronglyFor,Increasing the diversity of media ownership,https://theyvoteforyou.org.au/policies/68
Mark Dreyfus,VeryStronglyFor,Increasing trade unions  powers in the workplace,https://theyvoteforyou.org.au/policies/6
Mark Dreyfus,VeryStronglyFor,Letting environmental groups challenge the legality of certain government decisions,https://theyvoteforyou.org.au/policies/83
Mark Dreyfus,VeryStronglyFor,Making the cashless debit card program voluntary,https://theyvoteforyou.org.au/policies/221
Mark Dreyfus,VeryStronglyFor,More scrutiny of intelligence services   police,https://theyvoteforyou.org.au/policies/23
Mark Dreyfus,VeryStronglyFor,Protecting the Great Barrier Reef,https://theyvoteforyou.org.au/policies/122
Mark Dreyfus,VeryStronglyFor,Re approving  re registering agvet chemicals,https://theyvoteforyou.org.au/policies/35
Mark Dreyfus,VeryStronglyFor,Recognising local government in the Constitution,https://theyvoteforyou.org.au/policies/10
Mark Dreyfus,VeryStronglyFor,Removing children from immigration detention,https://theyvoteforyou.org.au/policies/60
Mark Dreyfus,VeryStronglyFor,Requiring every native title claimant to sign land use agreements,https://theyvoteforyou.org.au/policies/153
Mark Dreyfus,VeryStronglyFor,Restricting foreign ownership,https://theyvoteforyou.org.au/policies/19
Mark Dreyfus,VeryStronglyFor,Same sex marriage equality,https://theyvoteforyou.org.au/policies/1
Mark Dreyfus,VeryStronglyFor,Temporary Exclusion Orders,https://theyvoteforyou.org.au/policies/220
Mark Dreyfus,VeryStronglyFor,The Carbon Pollution Reduction Scheme,https://theyvoteforyou.org.au/policies/7
Mark Dreyfus,VeryStronglyFor,Tobacco plain packaging,https://theyvoteforyou.org.au/policies/2
Mark Dreyfus,VeryStronglyFor,Treating government action on climate change as a matter of urgency,https://theyvoteforyou.org.au/policies/79
Mark Dreyfus,VeryStronglyFor,Treating the COVID vaccine rollout as a matter of urgency,https://theyvoteforyou.org.au/policies/264
Mark Dreyfus,StronglyFor,A minerals resource rent tax,https://theyvoteforyou.org.au/policies/14
Mark Dreyfus,StronglyFor,Increasing transparency of big business by making information public,https://theyvoteforyou.org.au/policies/81
Mark Dreyfus,StronglyFor,Restricting donations to political parties,https://theyvoteforyou.org.au/policies/85
Mark Dreyfus,StronglyFor,Stopping tax avoidance or aggressive tax minimisation,https://theyvoteforyou.org.au/policies/92
Mark Dreyfus,ModeratelyFor,Implementing refugee and protection conventions,https://theyvoteforyou.org.au/policies/8
Mark Dreyfus,ModeratelyFor,Increasing political transparency,https://theyvoteforyou.org.au/policies/199
Mark Dreyfus,ModeratelyFor,Letting all MPs or Senators speak in Parliament  procedural,https://theyvoteforyou.org.au/policies/114
Mark Dreyfus,ModeratelyFor,Regional processing of asylum seekers,https://theyvoteforyou.org.au/policies/16
Mark Dreyfus,ModeratelyFor,Suspending the rules to allow a vote to happen  procedural,https://theyvoteforyou.org.au/policies/113
Mark Dreyfus,ModeratelyFor,The Australian Renewable Energy Agency  ARENA,https://theyvoteforyou.org.au/policies/127
Mark Dreyfus,Mixed,Ending immigration detention on Nauru,https://theyvoteforyou.org.au/policies/118
Mark Dreyfus,Mixed,Increasing funding for university education,https://theyvoteforyou.org.au/policies/25
Mark Dreyfus,Mixed,Parliament continuing to meet during the COVID 19 pandemic,https://theyvoteforyou.org.au/policies/237
Mark Dreyfus,Mixed,Political interference in research funding,https://theyvoteforyou.org.au/policies/203
Mark Dreyfus,Mixed,Protecting Australian sovereignty in trade agreements,https://theyvoteforyou.org.au/policies/204
Mark Dreyfus,ModeratelyAgainst,Drug testing welfare recipients,https://theyvoteforyou.org.au/policies/163
Mark Dreyfus,ModeratelyAgainst,Increasing eligibility requirements for Australian citizenship,https://theyvoteforyou.org.au/policies/184
Mark Dreyfus,ModeratelyAgainst,Increasing the age pension,https://theyvoteforyou.org.au/policies/28
Mark Dreyfus,ModeratelyAgainst,Increasing the price of subsidised medicine,https://theyvoteforyou.org.au/policies/27
Mark Dreyfus,ModeratelyAgainst,Senate electoral reform,https://theyvoteforyou.org.au/policies/89
Mark Dreyfus,ModeratelyAgainst,Speeding things along in Parliament  procedural,https://theyvoteforyou.org.au/policies/112
Mark Dreyfus,ModeratelyAgainst,Voluntary student union fees,https://theyvoteforyou.org.au/policies/12
Mark Dreyfus,StronglyAgainst,Decreasing availability of welfare payments,https://theyvoteforyou.org.au/policies/34
Mark Dreyfus,StronglyAgainst,Getting rid of Sunday and public holiday penalty rates,https://theyvoteforyou.org.au/policies/148
Mark Dreyfus,StronglyAgainst,Government action on animal   plant extinctions,https://theyvoteforyou.org.au/policies/172
Mark Dreyfus,StronglyAgainst,Increasing or removing the Government debt limit,https://theyvoteforyou.org.au/policies/13
Mark Dreyfus,VeryStronglyAgainst,A citizenship test,https://theyvoteforyou.org.au/policies/166
Mark Dreyfus,VeryStronglyAgainst,A combined Federal Circuit and Family Court of Australia,https://theyvoteforyou.org.au/policies/202
Mark Dreyfus,VeryStronglyAgainst,A plebiscite on the carbon pricing mechanism,https://theyvoteforyou.org.au/policies/103
Mark Dreyfus,VeryStronglyAgainst,A same sex marriage plebiscite,https://theyvoteforyou.org.au/policies/129
Mark Dreyfus,VeryStronglyAgainst,An Australian Building and Construction Commission  ABCC,https://theyvoteforyou.org.au/policies/132
Mark Dreyfus,VeryStronglyAgainst,An emissions reduction fund,https://theyvoteforyou.org.au/policies/37
Mark Dreyfus,VeryStronglyAgainst,Charging postgraduate research students fees,https://theyvoteforyou.org.au/policies/71
Mark Dreyfus,VeryStronglyAgainst,Civil celebrants having the right to refuse to marry same sex couples,https://theyvoteforyou.org.au/policies/175
Mark Dreyfus,VeryStronglyAgainst,Compensating victims of overseas terrorism since the September 11 attack,https://theyvoteforyou.org.au/policies/65
Mark Dreyfus,VeryStronglyAgainst,Decreasing ABC and SBS funding,https://theyvoteforyou.org.au/policies/56
Mark Dreyfus,VeryStronglyAgainst,Deregulating undergraduate university fees,https://theyvoteforyou.org.au/policies/58
Mark Dreyfus,VeryStronglyAgainst,Ending immigration detention on Manus Island,https://theyvoteforyou.org.au/policies/121
Mark Dreyfus,VeryStronglyAgainst,Government administered paid parental leave,https://theyvoteforyou.org.au/policies/5
Mark Dreyfus,VeryStronglyAgainst,Increasing indexation of HECS HELP debts,https://theyvoteforyou.org.au/policies/70
Mark Dreyfus,VeryStronglyAgainst,Increasing scrutiny of unions,https://theyvoteforyou.org.au/policies/133
Mark Dreyfus,VeryStronglyAgainst,Increasing the initial tax rate for working holiday makers to 19,https://theyvoteforyou.org.au/policies/131
Mark Dreyfus,VeryStronglyAgainst,Increasing the Medicare Levy to pay for the National Disability Insurance Scheme,https://theyvoteforyou.org.au/policies/169
Mark Dreyfus,VeryStronglyAgainst,Live animal export,https://theyvoteforyou.org.au/policies/32
Mark Dreyfus,VeryStronglyAgainst,Making more water from Murray Darling Basin available to use,https://theyvoteforyou.org.au/policies/185
Mark Dreyfus,VeryStronglyAgainst,Privatising government assets,https://theyvoteforyou.org.au/policies/21
Mark Dreyfus,VeryStronglyAgainst,Putting welfare payments onto restricted debit cards  known as cashless debit cards,https://theyvoteforyou.org.au/policies/109
Mark Dreyfus,VeryStronglyAgainst,Reducing the corporate tax rate,https://theyvoteforyou.org.au/policies/149
Mark Dreyfus,VeryStronglyAgainst,Stopping people who arrive by boat from ever coming to Australia,https://theyvoteforyou.org.au/policies/134
Mark Dreyfus,VeryStronglyAgainst,Strengthening gun control laws,https://theyvoteforyou.org.au/policies/126
Mark Dreyfus,VeryStronglyAgainst,Temporary protection visas,https://theyvoteforyou.org.au/policies/11
Mark Dreyfus,VeryStronglyAgainst,The Coalition s new schools funding policy   Gonski 2 0,https://theyvoteforyou.org.au/policies/151
Mark Dreyfus,VeryStronglyAgainst,The Intervention in the Northern Territory,https://theyvoteforyou.org.au/policies/36
Mark Dreyfus,VeryStronglyAgainst,Tighter means testing of family payments,https://theyvoteforyou.org.au/policies/57
